Megnevezés,Referencia,Alsó doboz,Belsõ doboz,Mágneses beállító,Mágneses beállító rugó,Vezérlõkar hirtelenzáró ütközõkilincs nélkül,Vezérlõkar UNI,Vezérlõkar fekete,Mágneses,Termikus,Csatlórúd,Kapocs,Szegecs,Fedõ,Szorító,Központozó gyûrû,Vezérlõkar összekötõ,Vezérlõkar összekötõ csavar,Központi szegecs,Központi csavar,Külsõ doboz
10A C BIP / 2P,3599424DA,EEE11469 - 50mm2,,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
63A B BIP / 2P,3599424FA,EEE11469 - 50mm2,,51006191AJ,51006192KA,,EEE11460,EEE11461,EEE11470,EEE11481 - R,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
63A C BIP / 2P,3599442DA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11470,EEE11481 - R,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
63A D BIP / 2P,3599434NA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11470,EEE11481 - R,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
63A INTER BIP / 2P,3599434YA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11482 - Inter,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,3532269AF - 63mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
80A B BIP / 2P,3599441CA,EEE11488 - 70mm2,,51006191AJ,51006192AD,,EEE11460,EEE11461,EEE11466,EEE11486 - F,51006012AD,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
80A C BIP / 2P,3599441UA,EEE11488 - 70mm2,,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11466,EEE11486 - F,51006012AD,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
80A D BIP / 2P,3599422LA,EEE11488 - 70mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11486 - F,51006012AD,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
80A INTER BIP / 2P,3599422VA,EEE11488 - 70mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11482 - Inter,51006012AD,51006015AK,51006643BB,51137515CC - 70mm2,51137120AB - 70mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
10A C UNI / 1 Pólus ,3599424KA,EEE11469 - 50mm2,,51006191AJ,51006192CE,,EEE11462,,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
63A B UNI / 1 Pólus ,3599434SA,EEE11469 - 50mm2,,51006191AJ,51006192KA,,EEE11462,,EEE11470,EEE11481 - R,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
63A C UNI / 1 Pólus ,3599424CA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11470,EEE11481 - R,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
63A D UNI / 1 Pólus ,3599424EA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11462,,EEE11470,EEE11481 - R,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
80A B UNI / 1 Pólus ,3599434UA,EEE11488 - 70mm2,,51006191AJ,51006192AD,,EEE11462,,EEE11466,EEE11486 - F,51006012AD,51006015AK,51006643AB,51137515CC - 70mm2,51137120AB - 70mm2,,,,51006682AG,51006195AF,
80A C UNI / 1 Pólus ,3599443AA,EEE11488 - 70mm2,,51006191AJ,51006192CE,,EEE11462,,EEE11466,EEE11486 - F,51006012AD,51006015AK,51006643AB,51137515CC - 70mm2,51137120AB - 70mm2,,,,51006682AG,51006195AF,
80A D UNI / 1 Pólus ,3599441EA,EEE11488 - 70mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11466,EEE11486 - F,51006012AD,51006015AK,51006643AB,51137515CC - 70mm2,51137120AB - 70mm2,,,,51006682AG,51006195AF,
63A B TRI / 3P ,3599433LA,EEE11467,EEE11468,51006191AJ,51006192KA,,EEE11460,EEE11461,EEE11470,EEE11464 - F,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
63A C TRI / 3P ,3599432DA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11470,EEE11464 - F,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
63A D TRI / 3P ,3599433JA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11470,EEE11464 - F,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
63A INTER TRI / 3P ,3599438DA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11482-Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
80A B TRI / 3P ,3599420JA,EEE11467,EEE11468,51006191AJ,51006192AD,,EEE11460,EEE11461,EEE11466,EEE11463 - A,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
80A C TRI / 3P ,3599417NA,EEE11467,EEE11468,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11466,EEE11463 - A,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
80A D TRI / 3P ,3599417TA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11463 - A,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
80A INTER TRI / 3P ,3599420MA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11466,EEE11482-Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
100A B TRI / 3P ,3599417JA,EEE11467,EEE11468,51006191AJ,51006192KA,,EEE11460,EEE11461,EEE11466,EEE11487 - E,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
100A C TRI / 3P ,3599417BA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11487 - E,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
100A D TRI / 3P ,3599417LA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11466,EEE11487 - E,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
100A INTER TRI / 3P ,3599420TA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11466,EEE11482-Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
125A B TRI / 3P ,3599417HA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11466,EEE11484 - A,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
125A C TRI / 3P ,3599417RA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11466,EEE11484 - A,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
125A D TRI / 3P ,3599417EA,EEE11467,EEE11468,51006191AJ,51006192ED,,EEE11460,EEE11461,EEE11466,EEE11484 - A,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
125A INTER TRI / 3P ,3599417ZA,EEE11467,EEE11468,51006191AJ,51006192ED,,EEE11460,EEE11461,EEE11466,EEE11482-Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
63A B TETRA / 4P ,3599442KA,EEE11467,EEE11468,51006191AJ,51006192KA,,EEE11460,EEE11461,EEE11470,EEE11464 - F,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
63A C TETRA / 4P ,3599432NA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11470,EEE11464 - F,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
63A D TETRA / 4P ,3599442HA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11470,EEE11464 - F,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
63A INTER TRI+N / 4P ,3599438BA,EEE11467,EEE11468,51006191AJ,51006192HA,EEE11483 ,EEE11460,EEE11461,EEE11466,EEE11482-Inter,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
80A B TETRA / 4P ,3599420GA,EEE11467,EEE11468,51006191AJ,51006192AD,,EEE11460,EEE11461,EEE11466,EEE11463 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
80A C TETRA / 4P ,3599420CA,EEE11467,EEE11468,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11466,EEE11463 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
80A D TETRA / 4P ,3599420FA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11463 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
80-100A INTER TRI+N,3599423MA,EEE11467,EEE11468,51006191AJ,51006192DE,EEE11483 ,EEE11460,EEE11461,EEE11466,EEE11482-Inter,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
80A NS C INTER TRI+N,3599420BA,EEE11467,EEE11468,51006191AJ,51006192CE,EEE11483 ,EEE11460,EEE11461,EEE11466,EEE11482-Inter / EEE11463 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
100A B TETRA / 4P ,3599417UA,EEE11467,EEE11468,51006191AJ,51006192KA,,EEE11460,EEE11461,EEE11466,EEE11487 - E,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
100A C TETRA / 4P ,3599417CA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11466,EEE11487 - E,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
100A D TETRA / 4P ,3599415HA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11466,EEE11487 - E,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
100A NS C INTER TRI+N,3599402CA,EEE11467,EEE11468,51006191AJ,51006192HA,EEE11483 ,EEE11460,EEE11461,EEE11466,EEE11482-Inter / EEE11487 - E,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
125A B TETRA / 4P ,3599415FA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11466,EEE11484 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
125A C TETRA / 4P ,3599415BA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11466,EEE11484 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
125A D TETRA / 4P ,3599415CA,EEE11467,EEE11468,51006191AJ,51006192ED,,EEE11460,EEE11461,EEE11466,EEE11484 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
125A INTER TRI+N ,3599423JA,EEE11467,EEE11468,51006191AJ,51006192ED,EEE11483 ,EEE11460,EEE11461,EEE11466,EEE11482-Inter,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
125A NS C INTER TRI+N ,3599402BA,EEE11467,EEE11468,51006191AJ,51006192DE,EEE11483 ,EEE11460,EEE11461,EEE11466,EEE11482-Inter / EEE11484 - A,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
10A B UNI,3599444HA,EEE11469 - 50mm2,,51006191AJ,51006192AD,,EEE11462,,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
10A D UNI,3599443BA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
16A B UNI,3599424NA,EEE11469 - 50mm2,,51006191AJ,51006192BD,,EEE11462,,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
16A C UNI,3599441QA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
16A D UNI,3599443CA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11462,,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
