Megnevezés,Referencia,Alsó doboz,Belsõ doboz,Mágneses beállító,Mágneses beállító rugó,Vezérlõkar hirtelenzáró ütközõkilincs nélkül,Vezérlõkar UNI,Vezérlõkar fekete,Mágneses,Termikus,Csatlórúd,Kapocs,Szegecs,Fedõ,Szorító,Központozó gyûrû,Vezérlõkar összekötõ,Vezérlõkar összekötõ csavar,Központi szegecs,Központi csavar,Külsõ doboz
20A B UNI,3599418VA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11462,,EEE11506,EEE11509 - Q/C,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
20A C UNI,3599424PA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11506,EEE11509 - Q/C,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
20A D UNI,3599434TA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11462,,EEE11506,EEE11509 - Q/C,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
25A B UNI,3599422SA,EEE11469 - 50mm2,,51006191AJ,51006192GA,,EEE11462,,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
25A C UNI,3599441FA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
25A D UNI,3599422PA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11462,,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
32A B UNI,3599422NA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11462,,EEE11505,EEE11511 - K,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
32A C UNI,3599424SA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11505,EEE11511 - K,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
32A D UNI,3599430SA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11462,,EEE11505,EEE11511 - K,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
40A B UNI,3599424VA,EEE11469 - 50mm2,,51006191AJ,51006192KA,,EEE11462,,EEE11508,EEE11513 - H,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
40A C UNI,3599429AA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11508,EEE11513 - H,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
40A D UNI,3599422RA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11462,,EEE11508,EEE11513 - H,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
50A B UNI,3599422TA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11462,,EEE11508,EEE11514 - P,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
50A C UNI,3599424YA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11462,,EEE11508,EEE11514 - P,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
50A D UNI,3599422QA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11462,,EEE11508,EEE11514 - P,51006012AD,51006015AK,51006643AB,51137515AF - 50mm2,51006321AC - 50mm2,,,,51006682AG,51006195AF,
4A INTER BIP,3599420XA,EEE11469 - 50mm2,,51006191AJ,51006192KA,,EEE11460,EEE11461,EEE11471,EEE11471,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
10A B BIP,3599426BA,EEE11469 - 50mm2,,51006191AJ,51006192AD,,EEE11460,EEE11461,EEE11471,EEE11471,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
10A D BIP,3599424JA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11471,EEE11471,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
10A INTER BIP,3599420RA/ 3599421QA/ 3599420ZA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11505,EEE11505,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
16A B BIP,3599430LA,EEE11469 - 50mm2,,51006191AJ,51006192BD,,EEE11460,EEE11461,EEE11506,EEE11506,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
16A C BIP,3599424LA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11506,EEE11506,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
16A D BIP,3599423RA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11506,EEE11506,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
16A INTER BIP,3599435DA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
20A B BIP,3599426LA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11506,EEE11506,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
20A C BIP,3599424QA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11506,EEE11506,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
20A D BIP,3599424GA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11506,EEE11506,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
25A B BIP,3599426HA,EEE11469 - 50mm2,,51006191AJ,51006192GA,,EEE11460,EEE11461,EEE11505,EEE11505,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
25A C BIP,3599441GA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11505,EEE11505,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
25A D BIP,3599434LA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11505,EEE11505,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
25A INTER BIP,3599436GA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11470,EEE11470,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
32A B BIP,3599424TA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11505,EEE11505,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
32A C BIP,3599442AA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11505,EEE11505,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
32A D BIP,3599435MA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11505,EEE11505,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
40A B BIP,3599436QA,EEE11469 - 50mm2,,51006191AJ,51006192KA,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
40A C BIP,3599431CA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
40A D BIP,3599424WA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
40A INTER BIP,3599436JA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11470,EEE11470,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
50A B BIP,3599434QA,EEE11469 - 50mm2,,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
50A C BIP,3599441XA,EEE11469 - 50mm2,,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
50A D BIP,3599441BA,EEE11469 - 50mm2,,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11508,EEE11508,51006012AD,51006015AK,51006643BB,51137515AF - 50mm2,51006321AC - 50mm2,51006683AD,51006352AL,51006102AE,51006682BG,51006195AF,
10A B TRI ,3599426DA,EEE11467,EEE11468,51006191AJ,51006192AD,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A C TRI ,3599432SA,EEE11467,EEE11468,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A D TRI ,3599433FA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A INTER TRI ,3599433ZA / 3599429PA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11505,EEE11504 - Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A B TRI ,3599433PA,EEE11467,EEE11468,51006191AJ,51006192BD,,EEE11460,EEE11461,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A C TRI ,3599432FA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A D TRI ,3599431HA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11506,EEE11507 - G,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
16A INTER TRI ,3599433XA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11508,EEE11504 - Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
20A B TRI ,3599426PA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11506,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
20A C TRI ,3599432UA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11506,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
20A D TRI ,3599432YA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11506,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A B TRI ,3599434JA,EEE11467,EEE11468,51006191AJ,51006192GA,,EEE11460,EEE11461,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A C TRI ,3599441SA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A D TRI ,3599432KA,EEE11467,EEE11468,51006191AJ,51006192DE,,EEE11460,EEE11461,EEE11505,EEE11510 - C,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
25A INTER TRI ,3599434WA,EEE11467,EEE11468,51006191AJ,51006192FC,,EEE11460,EEE11461,EEE11470,EEE11504 - Inter,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
32A B TRI ,3599433SA,,,,,,,,,0,,,,,,,,,,,
32A C TRI ,3599432LA,,,,,,,,,0,,,,,,,,,,,
32A D TRI ,3599435KA,,,,,,,,,0,,,,,,,,,,,
40A C TRI,3599432QA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11508,EEE11513 - H,51006012AD,51006015AK,51006203AB,51137518AC,,,51006841AK,51006102AE,51006196AE,51006195AF,3599414BA
10A C TETRA / 4P,3599430DA,EEE11467,EEE11468,51006191AJ,51006192CE,,EEE11460,EEE11461,EEE11471,EEE11465 - M,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
40A C TETRA / 4P,3599434BA,EEE11467,EEE11468,51006191AJ,51006192HA,,EEE11460,EEE11461,EEE11508,EEE11513 - H,51006012AD,51006015AK,51006202AC,51137518AC,,,51006092AK,51006102AE,51006194AE,51006195AF,3599414AA
